Massospora_cicadina_MCPNR19.v3
DNA,9
DNA/Academ-H,3
DNA/CMC-Chapaev-3,1802
DNA/CMC-EnSpm,6
DNA/Crypton-F,2
DNA/Dada,1
DNA/Kolobok-H,3
DNA/MULE-MuDR,5
DNA/MULE-MuDR?,1
DNA/Maverick,6
DNA/P-Fungi,3
DNA/PIF-Harbinger,18
DNA/PIF-Harbinger?,4
DNA/PIF-ISL2EU,150
DNA/PiggyBac,857
DNA/TcMar-Ant1,3
DNA/TcMar-Ant1?,1
DNA/TcMar-Fot1,9
DNA/TcMar-ISRm11,316
DNA/TcMar-Mariner,1251
DNA/TcMar-Pogo,370
DNA/TcMar-Sagan,2
DNA/TcMar-Tc1,8
DNA/Zisupton,3
DNA/hAT,1
DNA/hAT-Ac,2
DNA/hAT-Charlie,129
DNA/hAT-Tag1,1
DNA/hAT-hATw,4
LINE/CRE,2
LINE/L1,9010
LINE/L1-Tx1,69648
LINE/Penelope,4
LINE/RTE-X,1
LINE/Tad1,43
LTR,3713
LTR/Copia,6551
LTR/DIRS,3
LTR/ERVK,903
LTR/Gypsy,590897
LTR/Ngaro,2
LTR/Unknown,180657
RC/Helitron,8217
Satellite,4
Satellite/5S,2
Unknown,663336
rRNA,23
