split32_split0_ctg9	205922	711	Q3K5P1
split32_split0_ctg9	205922	790	Q3K5P2
split32_split0_ctg9	381754	550	A6UYW3
split32_split0_ctg9	381754	417	A6UYW4
split32_split0_ctg9	246200	1119	Q5LLW7
split32_split0_ctg9	246200	1155	Q5LLW7
split32_split0_ctg9	246200	1119	Q5LLW7
split32_split0_ctg9	257313	785	Q7VSH3
split32_split0_ctg9	208964	102	Q9I5W9
split32_split0_ctg9	195709	1593	Q9XD78
split32_split0_ctg9	216595	692	C3K338
split32_split0_ctg9	216595	366	C3K337
split32_split0_ctg9	160488	1341	P0A118
split32_split0_ctg9	208964	886	Q9I310
split32_split0_ctg9	1124983	575	P55176
split32_split0_ctg9	1124983	60	P55174
split32_split0_ctg9	1124983	44	P55174
split32_split0_ctg9	1124983	346	P55174
split32_split0_ctg9	1124983	112	P55174
split32_split0_ctg9	1124983	134	P55174
split32_split0_ctg9	1124983	247	P55174
split32_split0_ctg9	1124983	282	P55174
split32_split0_ctg9	216595	55	C3K347
split32_split0_ctg9	216595	645	C3K348
split32_split0_ctg9	160488	537	Q88QV6
split32_split0_ctg9	216595	192	C3K350
split32_split0_ctg9	220664	824	Q4K4U8
split32_split0_ctg9	99287	674	Q8ZKU8
split32_split0_ctg9	208964	595	Q9I633
split32_split0_ctg9	294	1474	O05137
split32_split0_ctg9	83333	1443	P06971
split34_split0_ctg9	160488	705	Q88QT3
split34_split0_ctg9	160488	454	Q88QT2
split34_split0_ctg9	266117	706	Q1AS06
split34_split0_ctg9	205922	1948	Q3K5T5
split34_split0_ctg9	220664	810	Q4K4X7
split34_split0_ctg9	160488	666	Q88QT5
split34_split0_ctg9	220664	548	Q4K4X5
split34_split0_ctg9	216595	258	C3K328
split34_split0_ctg9	216595	604	C3K329
split34_split0_ctg9	216595	227	C3K330
split34_split0_ctg9	83334	1313	P0ACY5
split34_split0_ctg9	216595	845	C3K332
split34_split0_ctg9	83333	253	P29013
split34_split0_ctg9	83333	786	P29013
split34_split0_ctg9	216595	819	C3K334
split35_split0_ctg9	420246	717	A4IP64
split35_split0_ctg9	623	444	P0AG10
split35_split0_ctg9	220664	549	Q4K4Z4
split35_split0_ctg9	303	989	P20579
split35_split0_ctg9	303	408	P00901
split35_split0_ctg9	216595	683	C3K308
split35_split0_ctg9	216595	532	C3K307
split35_split0_ctg9	216595	694	C3K2Z7
split35_split0_ctg9	216595	239	C3K2Z6
split35_split0_ctg9	205922	796	Q3K5W9
split35_split0_ctg9	199310	704	P0AFT0
split35_split0_ctg9	205922	739	Q3K5W7
split35_split0_ctg9	85962	284	O26018
split35_split0_ctg9	9913	237	P62958
split35_split0_ctg9	216595	433	C3K303
split35_split0_ctg9	208964	434	P55222
split35_split0_ctg9	208964	1306	O33407
split37_split0_ctg9	216595	499	C3K2Z1
split39_split0_ctg9	208964	222	Q9HWC3
split39_split0_ctg9	208964	361	Q9HWC4
