ctg5764	284812	strain	Schizosaccharomyces pombe 972h-	5	4	2	0.910	Fungi;Ascomycota
ctg5767	314146	superorder	Euarchontoglires	1	1	1	1.000	Metazoa;Chordata
ctg5772	40410	varietas	Cryptococcus neoformans var. neoformans	1	1	1	1.000	Fungi;Basidiomycota
ctg5773	1437010	clade	Boreoeutheria	2	2	1	0.560	Metazoa;Chordata
ctg5777	2759	superkingdom	Eukaryota	3	3	3	1.000	uc_Eukaryota;uc_Eukaryota
ctg5778	4890	phylum	Ascomycota	6	6	4	0.910	Fungi;Ascomycota
ctg5781	716546	clade	leotiomyceta	2	2	1	0.920	Fungi;Ascomycota
ctg5782	2759	superkingdom	Eukaryota	4	4	3	0.680	uc_Eukaryota;uc_Eukaryota
ctg5790	131567	no rank	cellular organisms	2	1	1	1.000	unknown;unknown
ctg5794	2759	superkingdom	Eukaryota	1	1	1	1.000	uc_Eukaryota;uc_Eukaryota
ctg5792	2759	superkingdom	Eukaryota	4	4	4	1.000	uc_Eukaryota;uc_Eukaryota
ctg5798	367110	strain	Neurospora crassa OR74A	1	1	1	1.000	Fungi;Ascomycota
ctg5800	33154	clade	Opisthokonta	2	2	2	1.000	unknown;unknown
ctg5802	1236	class	Gammaproteobacteria	22	21	12	0.570	unknown;Proteobacteria
ctg5811	1236	class	Gammaproteobacteria	24	24	21	0.880	unknown;Proteobacteria
ctg5813	284812	strain	Schizosaccharomyces pombe 972h-	3	3	1	0.930	Fungi;Ascomycota
ctg5814	284812	strain	Schizosaccharomyces pombe 972h-	1	1	1	1.000	Fungi;Ascomycota
ctg4332	33213	clade	Bilateria	1	1	1	1.000	Metazoa;unknown
ctg4343	131567	no rank	cellular organisms	2	2	2	1.000	unknown;unknown
ctg4346	284812	strain	Schizosaccharomyces pombe 972h-	2	2	1	0.500	Fungi;Ascomycota
ctg4349	2759	superkingdom	Eukaryota	4	4	3	0.950	uc_Eukaryota;uc_Eukaryota
ctg4353	131567	no rank	cellular organisms	4	4	4	1.000	unknown;unknown
ctg4354	4890	phylum	Ascomycota	3	3	2	0.520	Fungi;Ascomycota
ctg4359	117571	clade	Euteleostomi	1	1	1	1.000	Metazoa;Chordata
ctg4362	1224	phylum	Proteobacteria	1	1	1	1.000	unknown;Proteobacteria
ctg4363	1437010	clade	Boreoeutheria	1	1	1	1.000	Metazoa;Chordata
ctg4375	2759	superkingdom	Eukaryota	6	6	6	1.000	uc_Eukaryota;uc_Eukaryota
ctg4377	33213	clade	Bilateria	1	1	1	1.000	Metazoa;unknown
ctg4389	2759	superkingdom	Eukaryota	1	1	1	1.000	uc_Eukaryota;uc_Eukaryota
ctg4392	4890	phylum	Ascomycota	5	5	2	0.510	Fungi;Ascomycota
ctg4406	2759	superkingdom	Eukaryota	3	3	3	1.000	uc_Eukaryota;uc_Eukaryota
ctg4412	2759	superkingdom	Eukaryota	1	1	1	1.000	uc_Eukaryota;uc_Eukaryota
ctg4414	5052	genus	Aspergillus	3	3	1	0.870	Fungi;Ascomycota
ctg4418	4890	phylum	Ascomycota	1	1	1	1.000	Fungi;Ascomycota
ctg4420	33154	clade	Opisthokonta	2	2	2	1.000	unknown;unknown
ctg8303	4890	phylum	Ascomycota	5	5	3	0.940	Fungi;Ascomycota
ctg8305	2759	superkingdom	Eukaryota	2	2	2	1.000	uc_Eukaryota;uc_Eukaryota
ctg8307	716546	clade	leotiomyceta	1	1	1	1.000	Fungi;Ascomycota
ctg8318	716546	clade	leotiomyceta	1	1	1	1.000	Fungi;Ascomycota
ctg8324	3702	species	Arabidopsis thaliana	2	1	1	1.000	Viridiplantae;Streptophyta
ctg8335	117571	clade	Euteleostomi	2	2	1	0.570	Metazoa;Chordata
ctg8341	4842	genus	Rhizopus	1	1	1	1.000	Fungi;Mucoromycota
ctg8349	4890	phylum	Ascomycota	6	6	3	0.890	Fungi;Ascomycota
ctg8369	284812	strain	Schizosaccharomyces pombe 972h-	1	1	1	1.000	Fungi;Ascomycota
ctg8378	4890	phylum	Ascomycota	9	9	6	0.660	Fungi;Ascomycota
ctg8383	1437010	clade	Boreoeutheria	1	1	1	1.000	Metazoa;Chordata
ctg8384	2759	superkingdom	Eukaryota	2	2	1	0.920	uc_Eukaryota;uc_Eukaryota
ctg8391	4890	phylum	Ascomycota	1	1	1	1.000	Fungi;Ascomycota
ctg8397	543	family	Enterobacteriaceae	60	58	35	0.590	unknown;Proteobacteria
ctg8400	559292	strain	Saccharomyces cerevisiae S288C	1	1	1	1.000	Fungi;Ascomycota
ctg8403	4890	phylum	Ascomycota	5	5	3	0.520	Fungi;Ascomycota
ctg4825	715340	suborder	Pleosporineae	3	3	1	0.870	Fungi;Ascomycota
ctg4826	716545	clade	saccharomyceta	2	2	1	0.530	Fungi;Ascomycota
ctg4837	1117	phylum	Cyanobacteria	1	1	1	1.000	unknown;Cyanobacteria
ctg4840	716545	clade	saccharomyceta	1	1	1	1.000	Fungi;Ascomycota
ctg4844	33213	clade	Bilateria	1	1	1	1.000	Metazoa;unknown
ctg4885	559292	strain	Saccharomyces cerevisiae S288C	1	1	1	1.000	Fungi;Ascomycota
ctg4889	33213	clade	Bilateria	2	2	2	1.000	Metazoa;unknown
ctg4892	3702	species	Arabidopsis thaliana	1	1	1	1.000	Viridiplantae;Streptophyta
ctg4893	4890	phylum	Ascomycota	2	2	2	1.000	Fungi;Ascomycota
ctg4895	0	no rank	unclassified	1	0	0	0.000	
ctg4899	4890	phylum	Ascomycota	2	2	1	0.930	Fungi;Ascomycota
ctg4902	91347	order	Enterobacterales	36	35	18	0.570	unknown;Proteobacteria
ctg4904	4890	phylum	Ascomycota	2	2	2	1.000	Fungi;Ascomycota
ctg4909	33213	clade	Bilateria	3	3	3	1.000	Metazoa;unknown
ctg4911	2759	superkingdom	Eukaryota	4	4	4	1.000	uc_Eukaryota;uc_Eukaryota
ctg4923	2759	superkingdom	Eukaryota	1	1	1	1.000	uc_Eukaryota;uc_Eukaryota
ctg3327	451864	subkingdom	Dikarya	1	1	1	1.000	Fungi;uc_Dikarya
ctg3330	4892	order	Saccharomycetales	4	4	2	0.500	Fungi;Ascomycota
ctg3339	284812	strain	Schizosaccharomyces pombe 972h-	4	4	2	0.500	Fungi;Ascomycota
ctg3346	2	superkingdom	Bacteria	1	1	1	1.000	uc_Bacteria;uc_Bacteria
ctg3351	2759	superkingdom	Eukaryota	1	1	1	1.000	uc_Eukaryota;uc_Eukaryota
ctg3357	2759	superkingdom	Eukaryota	3	3	3	1.000	uc_Eukaryota;uc_Eukaryota
ctg3365	284812	strain	Schizosaccharomyces pombe 972h-	2	1	1	1.000	Fungi;Ascomycota
ctg3367	2759	superkingdom	Eukaryota	2	2	2	1.000	uc_Eukaryota;uc_Eukaryota
ctg3374	451864	subkingdom	Dikarya	2	1	1	1.000	Fungi;uc_Dikarya
ctg3375	4890	phylum	Ascomycota	1	1	1	1.000	Fungi;Ascomycota
ctg3380	284812	strain	Schizosaccharomyces pombe 972h-	2	2	2	1.000	Fungi;Ascomycota
ctg3383	4890	phylum	Ascomycota	1	1	1	1.000	Fungi;Ascomycota
ctg3389	716546	clade	leotiomyceta	2	2	2	1.000	Fungi;Ascomycota
ctg3406	117571	clade	Euteleostomi	1	1	1	1.000	Metazoa;Chordata
ctg3411	32523	clade	Tetrapoda	3	3	2	0.970	Metazoa;Chordata
ctg3409	9606	species	Homo sapiens	2	2	2	1.000	Metazoa;Chordata
ctg3412	2759	superkingdom	Eukaryota	1	1	1	1.000	uc_Eukaryota;uc_Eukaryota
ctg3414	2759	superkingdom	Eukaryota	1	1	1	1.000	uc_Eukaryota;uc_Eukaryota
ctg3415	367110	strain	Neurospora crassa OR74A	1	1	1	1.000	Fungi;Ascomycota
ctg3416	2	superkingdom	Bacteria	1	1	1	1.000	uc_Bacteria;uc_Bacteria
